stop_lat,stop_lon,stop_id,stop_code,stop_name,zone_id,stop_url
41.16052,-8.64406,BSS1,BSS1,BESSA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BSS1
41.160182,-8.643361,BSS2,BSS2,BESSA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BSS2
41.160061,-8.644154,BSS6,BSS6,BESSA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BSS6
41.238914,-8.663903,BTC2,BTC2,BOTICA,VCD8,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BTC2
41.145083,-8.607167,BTLH1,BTLH1,BATALHA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BTLH1
41.143722,-8.604083,BTLH5,BTLH5,BATALHA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BTLH5
41.144912,-8.604411,BTLH6,BTLH6,BATALHA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BTLH6
41.157065,-8.516268,BV1,BV1,BELA VISTA,GDM2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BV1
41.157071,-8.515992,BV2,BV2,BELA VISTA,GDM2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BV2
41.15756,-8.627376,BVBR1,BVBR1,BOAVISTA BRASÍLIA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVBR1
41.157587,-8.626672,BVBR2,BVBR2,BOAVISTA BRASÍLIA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVBR2
41.127222,-8.62925,BVC2,BVC2,B.V. COIMBRÕES,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVC2
41.157164,-8.629998,BVCM3,BVCM3,BOAVISTA CEMITÉRIO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVCM3
41.158118,-8.627838,BVCT1,BVCT1,BOAVISTA CORREIOS,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVCT1
41.216968,-8.551417,BVE1,BVE1,ERMESINDE - B. V.,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVE1
41.217285,-8.550858,BVE2,BVE2,ERMESINDE - B. V.,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVE2
41.14178,-8.53307,BVG1,BVG1,B.V. GONDOMAR,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVG1
41.141972,-8.532556,BVG2,BVG2,B. V. GONDOMAR,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVG2
41.211188,-8.633179,BVLB1,BVLB1,B. V. LEÇA BALIO,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVLB1
41.210972,-8.633278,BVLB2,BVLB2,B. V. LEÇA BALIO,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVLB2
41.167667,-8.6195,BVLH1,BVLH1,BICA VELHA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVLH1
41.167831,-8.620647,BVLH2,BVLH2,BICA VELHA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVLH2
41.167472,-8.620861,BVLH3,BVLH3,BICA VELHA,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BVLH3
41.182497,-8.559843,BZ1,BZ1,BAZAR,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BZ1
41.182241,-8.560372,BZ2,BZ2,BAZAR,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BZ2
41.148755,-8.598393,C24A1,C24A1,CAMPO 24 DE AGOSTO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C24A1
41.14866,-8.59779,C24A2,C24A2,CAMPO 24 DE AGOSTO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C24A2
41.148611,-8.598785,C24A3,C24A3,CAMPO 24 DE AGOSTO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C24A3
41.148926,-8.598532,C24A4,C24A4,CAMPO 24 AGOSTO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C24A4
41.14892,-8.597637,C24A5,C24A5,CAMPO 24 DE AGOSTO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C24A5
41.155521,-8.514798,C301,C301,CURVA DO 30,GDM2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C301
41.155406,-8.514569,C302,C302,CURVA DO 30,GDM2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C302
41.193783,-8.689155,C61,C61,CAIS 6,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C61
41.193561,-8.688905,C62,C62,CAIS 6,MTS2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=C62
41.105903,-8.640866,CAB1,CAB1,CABINE,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAB1
41.105948,-8.640754,CAB2,CAB2,CABINE,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAB2
41.106176,-8.64146,CAB3,CAB3,CABINE,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAB3
41.106089,-8.64121,CAB4,CAB4,CABINE,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAB4
41.1682,-8.54229,CABN1,CABN1,CABANAS,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CABN1
41.16773,-8.54101,CABN2,CABN2,CABANAS,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CABN2
41.205194,-8.64325,CAL1,CAL1,CAL,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAL1
41.205111,-8.64325,CAL2,CAL2,CAL,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAL2
41.153139,-8.628611,CALE,CALE,R.CAMPO ALEGRE,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CALE
41.175448,-8.61365,CAM1,CAM1,CARLOS AMARANTE,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CAM1
